,DOW,LKNAME,CTY,NEAREST_TOWN,SURVEYTYPE,SURVEYDATE,black bullhead_GN,black bullhead_TN,brown bullhead_GN,brown bullhead_TN,yellow bullhead_GN,yellow bullhead_TN,bigmouth buffalo_GN,bigmouth buffalo_TN,black crappie_GN,black crappie_TN,bluegill_GN,bluegill_TN,largemouth bass_GN,largemouth bass_TN,northern pike_GN,northern pike_TN,walleye_GN,walleye_TN,white crappie_GN,white crappie_TN,white sucker_GN,white sucker_TN,yellow perch_GN,yellow perch_TN,common carp_GN,common carp_TN,highfin carpsucker_TN,river carpsucker_GN,river carpsucker_TN,DOWLKNUM,Sorder1,Sorder2,Sorder3,Sorder4,Sorder5,Sorder6,Sorderout,notes,exclude,PWATER,PDEVL,PBARE,PFOR,PGRASS,PAG,PWET,PMISC,X.LK_AREA.,X.LK_PERIM.,depthft,LAKE_NAME,SchuppLAKE_CLASS,UTMeasting,UTMnorthing,HUC04,MAJOR,CATCH_ID,watershed.acres.,dow,fish_date,BHD_TN,BLG_TN,CAP_GN,CRP_TN,NOP_GN,WAE_GN,YEP_GN,veg_date,veg_rich,S_rich,utmx,utmy,ecoreg,shedaream2,depthm,aream2,phuman,sdi,secchim,ln_shedaream2,ln_aream2
89,32006900,Round,Jackson,Round Lake                    ,Standard Survey,10-Aug-15,0.1973268,0.1093542,0,0,0,0,7.7971719,0.8295336,1.176894,0.7126596,0,0,0,0,0.5605875,1.1331342,6.7317159,0.7436448,3.502596,1.4897358,0,0.169422,0.3252993,0.065685,0,2.167605,0,0,0,32006900,2622.79417,5620.02717,0,0,0,0,1,,NA,0.168872979,0.045338078,0.000351006,0.006886779,0.022424013,0.720094291,0.036032854,0,929.85,26637.08,7,Round,43,303322,4825734.9,1023,84,8.40E+14,5698.18317,32006900,8/13/01,0.143319142,0,3.045040507,0.720595237,0.550390401,6.889076161,0.453189748,8/17/01,3,1,303384,4825820,great plains,23059821.4,2.1336,3762891.834,0.765432369,1.179541645,0.516666667,16.95360233,15.14069832
90,33001500,Quamba,Kanabec,Quamba                        ,Re-Survey,5-Jul-95,1.3420125,1.3533828,0,0.1618116,0.074745,0.0618345,0,0,1.2231,0.139524,0,0.12231,0.09513,0.3431475,12.59793,1.18686,9.58095,0.4790475,0.0577575,0,3.23895,11.516166,1.578705,0.02718,0,7.8735024,0,0,0,33001500,34920.99225,44530.79275,0,0,0,0,2,,NA,0.026365633,0.037548288,0,0.334735979,0.063821454,0.372053582,0.165475064,0,226.38,19424.98,11,Quamba,39,486508,5082694.4,703,36,3.61E+14,24362.58324,33001500,7/5/05,0.469515589,1.42057333,0,0.82477474,2.816788246,4.356558088,0.3227251,7/8/05,26,8,486364,5082710,eastern temperate forests,98592270.82,3.3528,916087.6982,0.409601871,1.745512256,0.681262136,18.40650343,13.72786738
91,33001500,Quamba,Kanabec,Quamba                        ,Re-Survey,5-Jul-05,0,0.6007233,0.278595,1.0361469,0,0,0,0,0.6511875,0.906,0,2.1470388,0,0.3572811,2.684025,1.0845273,4.33521,2.0183415,0,0,7.70553,2.6447952,0.5436,0.0209286,0,1.340427,0,0,0,33001500,34920.99225,44530.79275,0,0,0,0,2,,NA,0.026365633,0.037548288,0,0.334735979,0.063821454,0.372053582,0.165475064,0,226.38,19424.98,11,Quamba,39,486508,5082694.4,703,36,3.61E+14,24362.58324,33001500,7/5/05,0.469515589,1.42057333,0,0.82477474,2.816788246,4.356558088,0.3227251,7/8/05,26,8,486364,5082710,eastern temperate forests,98592270.82,3.3528,916087.6982,0.409601871,1.745512256,0.681262136,18.40650343,13.72786738
92,33003200,Lewis,Kanabec,Ogilvie                       ,Re-Survey,19-Aug-96,0,0.0041223,0.1085841,0.5102592,0.1390257,0.0424008,0,0,0.6934977,0.047565,0.2376891,0.39864,0.112797,0.0076557,5.8419333,0.1312794,0.62514,0.4183002,0,0,0.2125476,0,0.0451188,0.0023556,0.5090361,0,0,0,0,33003200,3673.46109,0,0,0,0,0,0,,NA,0.105652278,0.059720197,0,0.2908541,0.031175272,0.471218792,0.04137936,0,177.93,16935.35,47.7,Lewis,29,471445,5066093,701,21,2.11E+14,1605.22148,33003200,8/20/01,0.411811377,0.583137715,0,0.588312885,9.861689318,1.711179122,0.030191603,8/24/01,22,10,471594,5066100,eastern temperate forests,6496126.841,14.53896,720057.7998,0.530938989,1.717374311,2.280523404,15.68671669,13.48708677
93,33003600,Fish,Kanabec,Mora                          ,Re-Survey,8-Jul-02,6.28311,0.2822643,0.4006332,1.047336,0.1973268,0.3109392,0,0,1.2342438,1.2481056,0.4164429,4.318902,0,0,9.7199757,0.3567828,1.2231,0.4923204,0.3494442,0,10.5201549,0.3632607,0.4865673,0,0,3.0897318,0,0,0,33003600,98095.73431,58705.54627,33170.25338,0,0,0,3,,NA,0.025104185,0.028399119,0.000292639,0.554300646,0.043900359,0.24389837,0.104104682,0,NA,NA,8,Fish,42,475743,5075635.5,703,36,3.61E+14,55455.96849,33003600,7/8/02,0.311296078,1.143600384,0,0.760675327,9.73809572,1.163916221,0.414919275,8/31/02,20,7,475133,5075260,eastern temperate forests,224423240,2.4384,2034639.802,0.272297489,3.18591305,0.71893617,19.22904429,14.52582936
94,34002800,Unnamed,Kandiyohi,Atwater                       ,Re-Survey,5-Jul-06,11.8233,32.2793757,0,0,0,0,0,0,22.02486,9.6316407,0,0.918684,0,0.6607458,4.76556,0.5317767,1.57644,0.3233514,0,0,0,0,0.30804,0.2910978,3.09852,4.8374058,0,0,0,34002800,1666.43182,0,0,0,0,0,1,,NA,0.080057184,0.077197999,0,0.037884203,0,0.789849893,0.015010722,0,NA,NA,8,Tadd/Unnamed (Upper),40,359525,4999110.8,701,18,1.80E+14,338.8422595,34002800,7/5/06,2.451665132,0.712010929,2.401631824,2.56191689,4.340613591,1.403654165,0.28664549,7/5/06,21,8,359490,4999100,great plains,1371251.459,2.4384,158029.883,0.867047891,1.907174676,1.5189,14.13123435,11.97053943
95,34004400,Diamond,Kandiyohi,Atwater                       ,Re-Survey,14-Jul-08,0.6285375,0.423555,0,0,0,0.13137,0,0,3.2616,2.3200848,0.61155,0.6421275,0,0,8.0350875,0.4723884,6.18345,0.5018334,0,0,0.82899,0,5.6523075,0.0538164,1.922985,5.809725,0,0,0,34004400,56171.82573,47998.78784,31143.87231,9321.53461,0,0,3,,NA,0.148222562,0.039992553,0,0.052740229,0.008666315,0.714541216,0.035837125,0,1606.9,50709.21,27,Diamond,27,355211,5004941.4,701,18,1.80E+14,17999.64453,34004400,7/14/08,0.407176422,0.541451493,1.926976239,2.052271897,7.907577236,5.735490999,3.701847964,7/14/08,22,15,355342,5004970,eastern temperate forests,72842268.42,8.2296,6502777.928,0.754533769,1.709091763,1.592720379,18.10380695,15.68774002
96,34006200,Calhoun,Kandiyohi,Spicer                        ,Re-Survey,7-Jul-03,1.4640507,0.0528198,2.0244117,0.0353793,7.0161546,3.2090067,0,0,0.34428,0.27633,0.1359,2.8567539,1.6691238,0.1509849,21.7486206,1.86636,0.1778931,0,0,0,0.3557862,0,0.0239184,0.0059796,0.8012664,3.10305,0,0,0,34006200,28280.01405,17312.56058,12958.81385,0,0,0,3,,NA,0.08958143,0.033637604,0,0.149866134,0.037689154,0.662568836,0.026656842,0,647.12,25405.93,12.6,Calhoun,43,356252,5014945.1,701,18,1.80E+14,7564.218257,34006200,7/7/03,2.424751551,2.153584899,0.760126093,0.291133356,22.1486814,0.167442313,0.025333225,7/22/03,39,14,356269,5014910,eastern temperate forests,30611427.68,3.84048,2618723.106,0.69620644,1.349409911,1.314086629,17.23688395,14.77819739
97,34006200,Calhoun,Kandiyohi,Spicer                        ,Re-Survey,30-Jun-08,2.958543,0.0962625,0,0,7.399755,1.5695544,0,0,1.1297367,1.1627604,0,3.11664,2.9456778,0.2289462,17.0726187,0,3.7867629,0.15855,0,0,0,0,0.25821,0,2.16534,0.4546308,0,0,0,34006200,28280.01405,17312.56058,12958.81385,0,0,0,3,,NA,0.08958143,0.033637604,0,0.149866134,0.037689154,0.662568836,0.026656842,0,647.12,25405.93,12.6,Calhoun,43,356252,5014945.1,701,18,1.80E+14,7564.218257,34006200,7/7/03,2.424751551,2.153584899,0.760126093,0.291133356,22.1486814,0.167442313,0.025333225,7/22/03,39,14,356269,5014910,eastern temperate forests,30611427.68,3.84048,2618723.106,0.69620644,1.349409911,1.314086629,17.23688395,14.77819739
98,34007900,Green,Kandiyohi,Spicer                        ,Re-Survey,26-Jul-94,0,0.019932,0.019932,0,0,0.0188448,0,0,0.0337032,0,0,4.598856,0,0,2.235555,0.110985,6.075636,0.14949,0,0,1.4601096,0.2373267,1.602261,0.021744,1.1377548,0.9589104,0,0,0,34007900,331206.515,243284.7423,106868.2359,33009.90255,50381.42855,0,4,,NA,0.127508481,0.056713839,0.000903252,0.158257617,0.050061898,0.534667563,0.07188735,0,5560.63,63837.49,110,Green,22,350567,5012687.2,701,18,1.80E+14,95260.50017,34007900,7/28/08,0.305196624,1.650120921,0.170494473,0.013186524,3.318843166,5.500822819,0.228077324,7/28/08,27,21,350494,5012740,eastern temperate forests,385507108.9,33.528,22502686.44,0.591381403,1.157051597,3.668930108,19.77007019,16.92914526
99,34007900,Green,Kandiyohi,Spicer                        ,Re-Survey,4-Aug-03,0.5609952,0.100566,0.0916419,0,0.7212213,0.1719135,0,0,0.1165569,0.0206115,0.1903959,3.019698,0.229218,0.024462,4.8413016,1.2332925,5.8888188,0.1724571,0,0,1.0669056,0,0.28539,0,0,2.030346,0,0,0,34007900,331206.515,243284.7423,106868.2359,33009.90255,50381.42855,0,4,,NA,0.127508481,0.056713839,0.000903252,0.158257617,0.050061898,0.534667563,0.07188735,0,5560.63,63837.49,110,Green,22,350567,5012687.2,701,18,1.80E+14,95260.50017,34007900,7/28/08,0.305196624,1.650120921,0.170494473,0.013186524,3.318843166,5.500822819,0.228077324,7/28/08,27,21,350494,5012740,eastern temperate forests,385507108.9,33.528,22502686.44,0.591381403,1.157051597,3.668930108,19.77007019,16.92914526
100,34007900,Green,Kandiyohi,Spicer                        ,Re-Survey,28-Jul-08,1.0223304,0.2208828,0.106455,0,0.89694,0.1394334,0,0,0.429444,0.0117327,0.1337256,3.881304,0.3625812,0.127746,3.174624,0.640542,5.8475958,0.9922059,0,0,1.350846,0.1160586,0.25821,0,0.1638048,0.0979839,0,0,0,34007900,331206.515,243284.7423,106868.2359,33009.90255,50381.42855,0,4,,NA,0.127508481,0.056713839,0.000903252,0.158257617,0.050061898,0.534667563,0.07188735,0,5560.63,63837.49,110,Green,22,350567,5012687.2,701,18,1.80E+14,95260.50017,34007900,7/28/08,0.305196624,1.650120921,0.170494473,0.013186524,3.318843166,5.500822819,0.228077324,7/28/08,27,21,350494,5012740,eastern temperate forests,385507108.9,33.528,22502686.44,0.591381403,1.157051597,3.668930108,19.77007019,16.92914526
101,34008600,Big Kandiyohi,Kandiyohi,Lake Lillian                  ,Re-Survey,11-Jul-94,0.41676,0.046206,0,0.0180747,0,0.0260022,0,0,0.0896034,0.0145866,0.0640542,0.043488,0,0,1.7739027,0.7711872,2.7058143,0.4265448,0,0,1.619475,0.6338376,1.8544461,0.010872,3.434193,21.3975909,0,0,0,34008600,107122.87,93912.22292,29443.435,49460.41121,0,0,3,,NA,0.128838877,0.104828551,3.71E-05,0.028552023,0.001814254,0.706592724,0.029336508,0,2682.79,71590.99,18,Big Kandiyohi,41,346605,4984274.7,701,19,1.90E+14,37300.71993,34008600,7/25/11,0.257660498,0.563481125,6.39629831,0.107020825,1.786089175,8.771572818,2.347060132,7/25/11,17,7,347228,4984170,great plains,150951261.8,5.4864,10855540.08,0.811421275,1.886345933,1.161488095,18.83246757,16.20018611
102,34008600,Big Kandiyohi,Kandiyohi,Lake Lillian                  ,Re-Survey,9-Jul-96,0,0.047112,0,0,0,0.0929556,0,0,0.0139524,0.0364212,0,0.0265005,0,0,1.0483326,0.082446,4.09512,0.585276,0,0,1.9917504,0.4514598,0.311211,0.0554472,1.884933,7.004286,0,0,0,34008600,107122.87,93912.22292,29443.435,49460.41121,0,0,3,,NA,0.128838877,0.104828551,3.71E-05,0.028552023,0.001814254,0.706592724,0.029336508,0,2682.79,71590.99,18,Big Kandiyohi,41,346605,4984274.7,701,19,1.90E+14,37300.71993,34008600,7/25/11,0.257660498,0.563481125,6.39629831,0.107020825,1.786089175,8.771572818,2.347060132,7/25/11,17,7,347228,4984170,great plains,150951261.8,5.4864,10855540.08,0.811421275,1.886345933,1.161488095,18.83246757,16.20018611
103,34008600,Big Kandiyohi,Kandiyohi,Lake Lillian                  ,Re-Survey,25-Jul-11,1.0872,0.2905089,0,0,0,0.0155379,0,0.0979839,0.039864,0.1128423,0,0.8168043,0,0,1.783914,0.1469079,10.485138,0.2661828,0,0,2.884704,0,2.788668,0,2.471568,32.8820922,0,0,0,34008600,107122.87,93912.22292,29443.435,49460.41121,0,0,3,,NA,0.128838877,0.104828551,3.71E-05,0.028552023,0.001814254,0.706592724,0.029336508,0,2682.79,71590.99,18,Big Kandiyohi,41,346605,4984274.7,701,19,1.90E+14,37300.71993,34008600,7/25/11,0.257660498,0.563481125,6.39629831,0.107020825,1.786089175,8.771572818,2.347060132,7/25/11,17,7,347228,4984170,great plains,150951261.8,5.4864,10855540.08,0.811421275,1.886345933,1.161488095,18.83246757,16.20018611
104,34015400,Nest,Kandiyohi,Spicer                        ,Re-Survey,16-Jul-08,1.282896,0.033975,0,0.115515,2.00226,1.7849559,0,0,0.367836,0.2290368,3.83238,3.2422569,0,0.0518232,14.20608,1.0566225,3.855936,0.482445,0,0,3.92751,0.1518456,0.115968,0,0,0.8232369,0,0,0,34015400,279031.2239,208196.9804,101150.8138,33009.90255,42496.36144,0,4,,NA,0.072501261,0.056978273,0.001092533,0.156587547,0.055777602,0.576657646,0.080405139,0,1007.94,61673.42,40,Nest,24,346176,5013737.4,701,18,1.80E+14,78756.65144,34015400,7/16/08,1.649700688,2.168411979,0,0.233115752,13.85358979,3.751483865,0.111003436,7/16/08,34,17,345756,5013730,eastern temperate forests,318718135.6,12.192,4078951.6,0.633635919,2.625500928,1.806428571,19.57981768,15.22135055
105,34017100,Eagle,Kandiyohi,Willmar                       ,Re-Survey,13-Jul-09,0.0962625,0.31257,0,0,0.3023775,1.1248443,0,0.7146528,0.0645525,0.0926838,0,0.5401572,0,0.1000224,2.33295,0.3084024,8.84709,2.2525425,0,0,2.78595,0,1.6308,0.0458436,0,1.1929302,0,0,0,34017100,41414.76937,11029.75943,0,0,0,0,2,,NA,0.112545478,0.060176051,0.000697572,0.058504504,0.024263419,0.701895561,0.041917415,0,NA,NA,67,Eagle,27,342900,5005307.4,702,25,2.50E+14,10521.73131,34017100,7/13/09,1.299650954,0.376702284,0,0.08857057,2.298750582,8.026630585,1.208310681,7/13/09,12,10,342810,5005420,eastern temperate forests,42580106.23,20.4216,3415468.903,0.762071613,1.240537279,2.24344,17.56689771,15.04382535
106,34017100,Eagle,Kandiyohi,Willmar                       ,Re-Survey,10-Jul-00,5.13702,0.4227849,0,0,0.092412,0.4346082,0,1.065456,0.0044847,0,0,1.4280825,0,0,2.8596078,0.6457968,3.3695046,0.1988217,0,0,1.4218764,0,1.0123191,0.0450282,0,0.0107814,0,0,0,34017100,41414.76937,11029.75943,0,0,0,0,2,,NA,0.112545478,0.060176051,0.000697572,0.058504504,0.024263419,0.701895561,0.041917415,0,NA,NA,67,Eagle,27,342900,5005307.4,702,25,2.50E+14,10521.73131,34017100,7/13/09,1.299650954,0.376702284,0,0.08857057,2.298750582,8.026630585,1.208310681,7/13/09,12,10,342810,5005420,eastern temperate forests,42580106.23,20.4216,3415468.903,0.762071613,1.240537279,2.24344,17.56689771,15.04382535
107,34017200,Ringo,Kandiyohi,Spicer                        ,Re-Survey,5-Jul-95,0.713475,0.669081,0,0,0,0.0880179,0,0,0.79728,0.9964188,0,0.065232,0.020385,0,3.76443,1.0258638,5.678355,1.1045046,0,0,0.056625,0.1484934,0.14949,0.0684936,18.176625,14.3192394,0,0,0,34017200,4771.96965,0,0,0,0,0,1,,NA,0.244366378,0.066667252,0.00277221,0.123215736,0.032156646,0.423205716,0.107616062,0,733.14,47234.06,7,Ringo,41,341955,5010280.9,702,25,2.50E+14,4253.334165,34017200,7/5/95,0.672772123,0.051812795,21.58346995,1.051711947,3.899820831,5.1525095,0.1399841,7/20/95,16,6,342243,5010290,eastern temperate forests,17212701.53,2.1336,2972985.23,0.489872968,2.517126987,0.311612903,16.66115813,14.90507713
108,34017200,Ringo,Kandiyohi,Spicer                        ,Re-Survey,17-Jun-04,7.36125,1.6342428,0,0.0837144,0,0.3918903,0,0,0.4830792,2.6013072,0.0313929,0.24462,0,0.3752199,3.22083,0.7648452,6.0764967,2.2089186,0,0,0,0.293997,0.0104643,0,4.3444512,2.7788832,0,0,0,34017200,4771.96965,0,0,0,0,0,1,,NA,0.244366378,0.066667252,0.00277221,0.123215736,0.032156646,0.423205716,0.107616062,0,733.14,47234.06,7,Ringo,41,341955,5010280.9,702,25,2.50E+14,4253.334165,34017200,7/5/95,0.672772123,0.051812795,21.58346995,1.051711947,3.899820831,5.1525095,0.1399841,7/20/95,16,6,342243,5010290,eastern temperate forests,17212701.53,2.1336,2972985.23,0.489872968,2.517126987,0.311612903,16.66115813,14.90507713
109,34018000,Willmar,Kandiyohi,Willmar                       ,Re-Survey,10-Jul-95,0.846204,0.464325,0,0,0,0.0313929,5.9132808,1.8949896,0,0.1583235,0,0.2441217,0,0,5.0241324,1.0197936,18.23325,0.7892619,0,0,3.3868998,0.9450486,0.08154,0.03624,7.46544,12.532245,0,0,0,34018000,52134.34369,13368.63394,0,0,0,0,2,,NA,0.123069889,0.146040969,0.000406454,0.045516036,0.014742009,0.639367802,0.03085684,0,446.86,23265.98,13.5,Willmar,43,339880,5000293.7,702,25,2.50E+14,18057.79141,34018000,7/20/09,2.664359644,0.272410073,2.961109079,2.26545371,5.710097868,12.72474562,0.251829995,7/20/09,10,4,340105,5000360,great plains,73077581.43,4.1148,2558586.766,0.785408772,2.233666173,0.4125,18.10703219,14.75496562
110,34018000,Willmar,Kandiyohi,Willmar                       ,Re-Survey,17-Jul-00,11.56056,1.60362,0,0,0,0.1001583,1.83012,0.6484242,2.5891215,1.61721,0,0.0667722,0,0,1.8392706,1.1078115,7.3765161,1.728195,0,0,4.5702717,0.1393881,0.10419,0,7.77348,3.0680784,0,0,0,34018000,52134.34369,13368.63394,0,0,0,0,2,,NA,0.123069889,0.146040969,0.000406454,0.045516036,0.014742009,0.639367802,0.03085684,0,446.86,23265.98,13.5,Willmar,43,339880,5000293.7,702,25,2.50E+14,18057.79141,34018000,7/20/09,2.664359644,0.272410073,2.961109079,2.26545371,5.710097868,12.72474562,0.251829995,7/20/09,10,4,340105,5000360,great plains,73077581.43,4.1148,2558586.766,0.785408772,2.233666173,0.4125,18.10703219,14.75496562
111,34018000,Willmar,Kandiyohi,Willmar                       ,Re-Survey,20-Jul-09,13.4456742,3.47904,0,0,0,0.1638954,1.9821921,0,1.7083989,2.7601743,0.1966926,0.332955,0,0.1332273,5.0685264,5.3400546,13.5223671,1.59003,0,0,2.42808,0.8225121,0.2942235,0.0104643,3.2616,6.63192,0,0,0,34018000,52134.34369,13368.63394,0,0,0,0,2,,NA,0.123069889,0.146040969,0.000406454,0.045516036,0.014742009,0.639367802,0.03085684,0,446.86,23265.98,13.5,Willmar,43,339880,5000293.7,702,25,2.50E+14,18057.79141,34018000,7/20/09,2.664359644,0.272410073,2.961109079,2.26545371,5.710097868,12.72474562,0.251829995,7/20/09,10,4,340105,5000360,great plains,73077581.43,4.1148,2558586.766,0.785408772,2.233666173,0.4125,18.10703219,14.75496562
112,34018100,Foot,Kandiyohi,Willmar                       ,Re-Survey,17-Jul-00,13.3733754,1.1944251,0,0,0,0.2707128,0.9851391,0,1.1291478,0.88788,0,0.12231,0,0.0224235,0.4051179,0.3303729,6.5196666,2.1345813,0,0,0.96036,0.67497,0.1583235,0,2.5666074,4.681755,0,0,0,34018100,56363.28285,13368.63394,0,0,0,0,1,,NA,0.134309415,0.169203948,0.000361364,0.043390785,0.013106606,0.606683379,0.032944502,0,NA,NA,24,Foot,41,337830,4999602.4,702,25,2.50E+14,20310.98896,34018100,7/22/09,2.407853196,0.665866446,0.448463608,0.915354064,7.369447688,2.183644626,0.537249889,7/22/09,16,8,337955,4999700,great plains,82195984.9,7.3152,2035489.643,0.775887327,1.963334622,0.898739583,18.22461701,14.52624696
113,34018100,Foot,Kandiyohi,Willmar                       ,Re-Survey,22-Jul-09,23.9184,12.43032,0,0,0,0.16308,0,0,0.301698,1.0828965,0,0.785502,0,0,6.8812965,0.686295,1.8634155,1.378026,0,0,0,0,0.6339735,0.0338391,0.4290363,1.8498708,0,0,0,34018100,56363.28285,13368.63394,0,0,0,0,1,,NA,0.134309415,0.169203948,0.000361364,0.043390785,0.013106606,0.606683379,0.032944502,0,NA,NA,24,Foot,41,337830,4999602.4,702,25,2.50E+14,20310.98896,34018100,7/22/09,2.407853196,0.665866446,0.448463608,0.915354064,7.369447688,2.183644626,0.537249889,7/22/09,16,8,337955,4999700,great plains,82195984.9,7.3152,2035489.643,0.775887327,1.963334622,0.898739583,18.22461701,14.52624696
114,34018100,Foot,Kandiyohi,Willmar                       ,Re-Survey,10-Jul-95,0.0104643,0.01812,0,0,0,0.0177123,0.9833724,0,0.0843486,0.16308,0,1.0211526,0,0,2.32842,0.7982313,2.77236,0.6335658,0,0,0.2974398,0.1091277,0.3984588,0.0897393,5.7522846,13.88898,0,0,0,34018100,56363.28285,13368.63394,0,0,0,0,1,,NA,0.134309415,0.169203948,0.000361364,0.043390785,0.013106606,0.606683379,0.032944502,0,NA,NA,24,Foot,41,337830,4999602.4,702,25,2.50E+14,20310.98896,34018100,7/22/09,2.407853196,0.665866446,0.448463608,0.915354064,7.369447688,2.183644626,0.537249889,7/22/09,16,8,337955,4999700,great plains,82195984.9,7.3152,2035489.643,0.775887327,1.963334622,0.898739583,18.22461701,14.52624696
115,34019200,Long,Kandiyohi,Willmar                       ,Re-Survey,1-Jul-04,0.826272,1.9712748,0,0.1198638,0,0.39411,0,0,0.079728,0.0046206,0,0.0147225,0,0.1986858,5.405196,0.2107809,5.364426,0.8935425,0,0,0,0,0.684936,0.007701,4.319808,17.3769894,0,0,0,34019200,14029.79711,171.52159,0,0,0,0,2,,NA,0.334746515,0.058538017,0.003994462,0.096738884,0.021421952,0.409641439,0.074918731,0,1547.4,64633.37,16,Long,41,340164,5007379.8,702,25,2.50E+14,8265.685805,34019200,7/1/04,1.703115147,0.01382386,4.882843186,0.004115188,6.144462466,4.854054404,0.563107489,7/14/04,22,10,340164,5007530,eastern temperate forests,33450177.49,4.8768,6344828.982,0.468179456,2.2420951,1.939011765,17.32556765,15.66315071
116,34020600,Andrew,Kandiyohi,New London                    ,Re-Survey,6-Jul-10,2.4915,0.0515967,0.237372,0.0463872,0.279954,0.14043,0,0,0.084258,0.0732501,0.206568,1.2190683,0.161268,0.0053907,6.617424,0.26274,11.4156,1.0282194,0,0,0.931368,0,0.963984,0.0061608,0.460248,1.7512527,0,0,0,34020600,35.14997,5297.14291,0,0,0,0,3,,NA,0.418878242,0.035490763,0,0.341068775,0.027352384,0.155738144,0.021471693,0,735.91,28682.41,26,Andrew,27,339889,5019503.1,702,26,2.60E+14,2755.927916,34020600,7/6/10,0.151029938,0.817093868,0.48878668,0.087445494,6.571300131,10.16086308,0.909772123,7/6/10,22,17,339790,5019400,eastern temperate forests,11152889.2,7.9248,2978084.274,0.191228907,1.428482576,2.671789474,16.22720914,14.90679079
117,34020600,Andrew,Kandiyohi,New London                    ,Re-Survey,11-Jul-01,3.984588,0.1047336,0.1435104,0.0762399,3.1423704,0.147225,0,0,0.2067039,0,0.19026,1.4675388,0.4431246,0.0089694,5.48583,0.4492854,6.0020688,0.5978241,0,0,1.8458844,0.115968,0.33975,0.0053907,0.4412673,0.6461139,0,0,0,34020600,35.14997,5297.14291,0,0,0,0,3,,NA,0.418878242,0.035490763,0,0.341068775,0.027352384,0.155738144,0.021471693,0,735.91,28682.41,26,Andrew,27,339889,5019503.1,702,26,2.60E+14,2755.927916,34020600,7/6/10,0.151029938,0.817093868,0.48878668,0.087445494,6.571300131,10.16086308,0.909772123,7/6/10,22,17,339790,5019400,eastern temperate forests,11152889.2,7.9248,2978084.274,0.191228907,1.428482576,2.671789474,16.22720914,14.90679079
118,34020600,Andrew,Kandiyohi,New London                    ,Re-Survey,6-Jul-93,1.3344474,1.7482176,0,0,0.21291,0.287655,0,0.3734985,0.64779,0.1257075,0.7431012,4.785039,0.0702603,0.0867042,2.7917484,0.4790475,6.83124,0.473385,0,0,0.1116645,0,1.6128612,0.0242808,0,0.3537024,0,0,0,34020600,35.14997,5297.14291,0,0,0,0,3,,NA,0.418878242,0.035490763,0,0.341068775,0.027352384,0.155738144,0.021471693,0,735.91,28682.41,26,Andrew,27,339889,5019503.1,702,26,2.60E+14,2755.927916,34020600,7/6/10,0.151029938,0.817093868,0.48878668,0.087445494,6.571300131,10.16086308,0.909772123,7/6/10,22,17,339790,5019400,eastern temperate forests,11152889.2,7.9248,2978084.274,0.191228907,1.428482576,2.671789474,16.22720914,14.90679079
119,34021700,Florida,Kandiyohi,Spicer                        ,Re-Survey,19-Jul-10,0.213816,0,0.766476,0,0.30804,0,0,0,0.0453,0.138618,0.6342,2.290368,0.46206,1.280178,10.669056,0.65232,6.03849,1.99773,0,0,0.220158,0.483804,4.251858,0.070668,0.65232,0.994788,0,0,0,34021700,3800.96378,2285.85909,0,0,0,0,1,,NA,0.353774778,0.037798651,0.004599004,0.103377299,0.01764642,0.443542726,0.039261122,0,693.87,22742.49,30,Florida,27,338683,5012976.2,702,26,2.60E+14,2272.00157,34021700,7/19/10,0.012427007,1.276682522,0.611785819,0.114918503,9.018840083,5.465496847,2.773853642,7/19/10,21,18,338580,5013040,eastern temperate forests,9194500.922,9.144,2807954.28,0.481341377,1.167685436,3.004197531,16.03411614,14.84796676
120,34022400,Games,Kandiyohi,Sunburg                       ,Re-Survey,12-Jul-10,0.142242,0.053907,0,0.127746,0.144054,0.46659,0,0,0.120498,0.369648,0.008154,2.82219,0.15855,0.006795,2.046654,0.295356,1.072704,0.505095,0,0,0,0.33975,0.91506,0.024462,0.749262,1.278819,0,0,0,34022400,3937.28305,942.19979,0,0,0,0,3,,NA,0.294036279,0.065983968,0,0.268852306,0.046594411,0.303635696,0.020897339,0,521.1,24666.17,40,Games,24,335401,5022081.9,702,26,2.60E+14,1725.83295,34022400,7/12/10,0.374875687,0.876371478,0.742808652,0.357866031,2.161666841,1.056090587,0.79047743,7/12/10,32,18,335557,5022010,eastern temperate forests,6984226.094,12.192,2108778.277,0.369619665,1.459973693,2.4474,15.75916475,14.56161932
121,34022400,Games,Kandiyohi,Sunburg                       ,Re-Survey,17-Jul-01,0.843486,0,0.188448,0,0.99207,0.02718,0,0,0.282672,0.065232,0.777348,1.192296,0,0.01359,8.515494,0.125028,1.394334,1.049148,0,0,1.364436,0,1.136124,0.036693,0.43941,0.179841,0,0,0,34022400,3937.28305,942.19979,0,0,0,0,3,,NA,0.294036279,0.065983968,0,0.268852306,0.046594411,0.303635696,0.020897339,0,521.1,24666.17,40,Games,24,335401,5022081.9,702,26,2.60E+14,1725.83295,34022400,7/12/10,0.374875687,0.876371478,0.742808652,0.357866031,2.161666841,1.056090587,0.79047743,7/12/10,32,18,335557,5022010,eastern temperate forests,6984226.094,12.192,2108778.277,0.369619665,1.459973693,2.4474,15.75916475,14.56161932
